Contestant,Date of Birth,Age,Hometown,Season,Finish,Days Lasted,Votes Against,Tribal Wins,Individual Wins,Total Wins,Ethnicity,Gender
Hannah Shapiro,"February 24, 1992 (1992-02-24) (age 30)",24,"West Hollywood, CA",Millennials vs. Gen X,2,39,13,7,1,8,Caucasian,W
Ken McNickle,"September 20, 1982 (1982-09-20) (age 39)",33,"Denver, CO",Millennials vs. Gen X,2,39,3,4,5,9,Caucasian,M
Adam Klein,"January 15, 1991 (1991-01-15) (age 31)",25,"San Francisco, CA",Millennials vs. Gen X,1,39,6,5,2,7,Caucasian,M
Ciera Eastin,"March 5, 1989 (1989-03-05) (age 33)",27,"Salem, OR",Game Changers,20,3,9,0,N/A,0,Caucasian,W
Tony Vlachos,"September 10, 1973 (1973-09-10) (age 48)",42,"Jersey City, NJ",Game Changers,19,6,7,0,N/A,0,Caucasian,M
Caleb Reynolds,"November 27, 1987 (1987-11-27) (age 34)",28,"Hopkinsville, KY",Game Changers,18,9,5,0,N/A,0,Caucasian,M
Malcolm Freberg,"May 7, 1987 (1987-05-07) (age 34)",29,"Hermosa Beach, CA",Game Changers,17,11,5,2,N/A,2,Caucasian,M
J.T. Thomas,"June 23, 1984 (1984-06-23) (age 37)",31,"Mobile, AL",Game Changers,16,13,3,6,N/A,6,Caucasian,M
Sandra Diaz-Twine,"July 30, 1974 (1974-07-30) (age 47)",41,"Fayetteville, NC",Game Changers,15,16,5,3,N/A,3,Latin- American,W
Jeff Varner,"April 16, 1966 (1966-04-16) (age 56)",50,"High Point, NC",Game Changers,14,18,6,4,N/A,4,Caucasian,M
Hali Ford,"July 20, 1989 (1989-07-20) (age 32)",26,"Knoxville, TN",Game Changers,13,21,8,4,0,4,Caucasian,W
Ozzy Lusth,"August 23, 1981 (1981-08-23) (age 40)",34,"Venice, CA",Game Changers,12,24,7,8,1,9,Latin- American,M
Debbie Wanner,"November 21, 1965 (1965-11-21) (age 56)",50,"Reading, PA",Game Changers,11,26,6,6,2,8,Caucasian,W
Zeke Smith,"January 25, 1988 (1988-01-25) (age 34)",28,"Brooklyn, NY",Game Changers,10,29,11,8,2,10,Caucasian,M
Sierra Dawn Thomas,"December 18, 1986 (1986-12-18) (age 35)",29,"Roy, UT",Game Changers,9,32,15,7,1,8,Caucasian,W
Andrea Boehlke,"May 10, 1989 (1989-05-10) (age 32)",27,"New York City, NY",Game Changers,8,33,14,8,6,14,Caucasian,W
Michaela Bradshaw,"December 1, 1990 (1990-12-01) (age 31)",25,"Fort Worth, TX",Game Changers,7,35,11,5,0,5,African- American,W
Cirie Fields,"July 18, 1970 (1970-07-18) (age 51)",45,"Norwalk, CT",Game Changers,6,36,0,9,0,9,African- American,W
Aubry Bracco,"November 14, 1985 (1985-11-14) (age 36)",30,"Cambridge, MA",Game Changers,5,37,9,5,4,9,Caucasian,W
Tai Trang,"March 23, 1964 (1964-03-23) (age 58)",52,"San Francisco, CA",Game Changers,4,38,12,6,2,8,Asian- American,M
Troyzan Robertson,"July 30, 1961 (1961-07-30) (age 60)",54,"Miami, FL",Game Changers,2,39,2,6,2,8,Caucasian,M
Brad Culpepper,"May 8, 1969 (1969-05-08) (age 52)",47,"Tampa, FL",Game Changers,2,39,2,7,8,15,Caucasian,M
Sarah Lacina,"July 9, 1984 (1984-07-09) (age 37)",31,"Marion, IA",Game Changers,1,39,3,8,1,9,Caucasian,W
Katrina Radke,"December 17, 1970 (1970-12-17) (age 51)",46,"Excelsior, MN",Heroes vs. Healers vs. Hustlers,18,3,5,1,N/A,1,Caucasian,W
Simone Nguyen,"May 31, 1991 (1991-05-31) (age 30)",25,"New York City, NY",Heroes vs. Healers vs. Hustlers,17,6,5,1,N/A,1,Asian- American,W
Patrick Bolton,"March 6, 1992 (1992-03-06) (age 30)",25,"Auburn, AL",Heroes vs. Healers vs. Hustlers,16,8,5,1,N/A,1,Caucasian,M
Alan Ball,"March 29, 1985 (1985-03-29) (age 37)",32,"Houston, TX",Heroes vs. Healers vs. Hustlers,15,11,2,3,N/A,3,African- American,M
Roark Luskin,"November 30, 1989 (1989-11-30) (age 32)",27,"Santa Monica, CA",Heroes vs. Healers vs. Hustlers,14,14,3,5,N/A,5,Caucasian,W
Ali Elliott,"November 13, 1992 (1992-11-13) (age 29)",24,"Los Angeles, CA",Heroes vs. Healers vs. Hustlers,13,16,3,3,N/A,3,African- American,W
Jessica Johnston,"April 5, 1987 (1987-04-05) (age 35)",29,"Louisville, KY",Heroes vs. Healers vs. Hustlers,12,19,7,10,0,10,Caucasian,W
Desi Williams,"June 14, 1989 (1989-06-14) (age 32)",27,"Newport News, VA",Heroes vs. Healers vs. Hustlers,11,21,11,7,1,8,African- American,W
Cole Medders,"September 18, 1992 (1992-09-18) (age 29)",24,"Little Rock, AR",Heroes vs. Healers vs. Hustlers,10,24,7,10,3,13,Caucasian,M
JP Hilsabeck,"June 22, 1988 (1988-06-22) (age 33)",28,"Los Angeles, CA",Heroes vs. Healers vs. Hustlers,9,27,6,5,2,7,Caucasian,M
Joe Mena,"March 15, 1983 (1983-03-15) (age 39)",34,"Tolland, CT",Heroes vs. Healers vs. Hustlers,8,30,12,7,2,9,Latin- American,M
Lauren Rimmer,"March 6, 1982 (1982-03-06) (age 40)",35,"Beaufort, NC",Heroes vs. Healers vs. Hustlers,7,33,3,7,2,9,Caucasian,W
Ashley Nolan,"September 17, 1990 (1990-09-17) (age 31)",26,"Satellite Beach, FL",Heroes vs. Healers vs. Hustlers,6,36,8,6,3,9,Caucasian,W
Mike Zahalsky,"September 11, 1973 (1973-09-11) (age 48)",43,"Parkland, FL",Heroes vs. Healers vs. Hustlers,5,37,9,10,1,11,Caucasian,M
Devon Pinto,"March 6, 1993 (1993-03-06) (age 29)",24,"Solana Beach, CA",Heroes vs. Healers vs. Hustlers,4,38,2,4,3,7,Latin- American,M
Ryan Ulrich,"September 8, 1993 (1993-09-08) (age 28)",23,"North Arlington, NJ",Heroes vs. Healers vs. Hustlers,2,39,2,3,1,4,Caucasian,M
Chrissy Hofbeck,"March 9, 1971 (1971-03-09) (age 51)",46,"Lebanon Township, NJ",Heroes vs. Healers vs. Hustlers,2,39,7,5,8,13,Caucasian,W
Ben Driebergen,"January 1, 1983 (1983-01-01) (age 39)",34,"Boise, ID",Heroes vs. Healers vs. Hustlers,1,39,11,9,1,10,Caucasian,M
Stephanie Gonzalez,"April 22, 1991 (1991-04-22) (age 31)",26,"Ocala, FL",Ghost Island,20,3,8,1,N/A,1,Latin- American,W
Jacob Derwin,"June 1, 1995 (1995-06-01) (age 26)",22,"Brooklyn, NY",Ghost Island,19,6,5,1,N/A,1,Caucasian,M
Morgan Ricke,"August 7, 1987 (1987-08-07) (age 34)",29,"Orlando, FL",Ghost Island,18,9,4,2,N/A,2,Caucasian,W
Brendan Shapiro,"June 17, 1976 (1976-06-17) (age 45)",40,"Herndon, VA",Ghost Island,17,12,5,2,N/A,2,Caucasian,M
Stephanie Johnson,"September 10, 1982 (1982-09-10) (age 39)",34,"Chicago, IL",Ghost Island,16,14,7,2,N/A,2,Caucasian,W
James Lim,"March 17, 1993 (1993-03-17) (age 29)",24,"New York City, NY",Ghost Island,15,17,6,5,N/A,5,Asian- American,M
Bradley Kleihege,"September 14, 1990 (1990-09-14) (age 31)",26,"Los Angeles, CA",Ghost Island,14,19,8,5,N/A,5,Caucasian,M
Chris Noble,"December 4, 1989 (1989-12-04) (age 32)",27,"Brooklyn, NY",Ghost Island,13,22,10,9,0,9,Caucasian,M
Libby Vincek,"August 24, 1992 (1992-08-24) (age 29)",24,"Houston, TX",Ghost Island,12,25,8,7,1,8,Caucasian,W
Desiree Afuye,"February 3, 1996 (1996-02-03) (age 26)",21,"Brooklyn, NY",Ghost Island,11,27,10,4,0,4,African- American,W
Jenna Bowman,"November 10, 1993 (1993-11-10) (age 28)",23,"Venice Beach, CA",Ghost Island,10,29,3,5,1,6,Caucasian,W
Michael Yerger,"July 20, 1998 (1998-07-20) (age 23)",18,"Los Angeles, CA",Ghost Island,9,29,15,3,1,4,Caucasian,M
Chelsea Townsend,"May 25, 1992 (1992-05-25) (age 29)",25,"Los Angeles, CA",Ghost Island,8,32,5,5,4,9,Caucasian,W
Kellyn Bechtold,"November 1, 1986 (1986-11-01) (age 35)",30,"Denver, CO",Ghost Island,7,35,8,4,2,6,Caucasian,W
Sebastian Noel,"July 20, 1994 (1994-07-20) (age 27)",22,"Satellite Beach, FL",Ghost Island,6,36,5,6,2,8,Caucasian,M
Donathan Hurley,"July 19, 1991 (1991-07-19) (age 30)",25,"Kimper, KY",Ghost Island,5,37,11,7,1,8,Caucasian,M
Angela Perkins,"November 2, 1974 (1974-11-02) (age 47)",42,"Cincinnati, OH",Ghost Island,4,38,3,7,2,9,Caucasian,W
Laurel Johnson,"February 29, 1988 (1988-02-29) (age 34)",29,"Minneapolis, MN",Ghost Island,2,39,3,8,2,10,African- American,W
Domenick Abbate,"October 31, 1978 (1978-10-31) (age 43)",38,"Nesconset, NY",Ghost Island,2,39,2,8,4,12,Caucasian,M
Wendell Holland,"March 8, 1984 (1984-03-08) (age 38)",33,"Philadelphia, PA",Ghost Island,1,39,5,9,4,13,African- American,M
Pat Cusack,"February 25, 1977 (1977-02-25) (age 45)",41,"Watervliet, NY",David vs. Goliath,20,3,N/A,1,N/A,1,Caucasian,M
Jessica Peet,"October 22, 1998 (1998-10-22) (age 23)",19,"Lakeland, FL",David vs. Goliath,19,6,5,1,N/A,1,Caucasian,W
Jeremy Crawford,"April 26, 1978 (1978-04-26) (age 44)",39,"New York City, NY",David vs. Goliath,18,9,9,2,N/A,2,African- American,M
Bi Nguyen,"October 30, 1989 (1989-10-30) (age 32)",28,"Houston, TX",David vs. Goliath,17,10,0,2,N/A,2,Asian- American,M
Natalia Azoqa,"April 2, 1992 (1992-04-02) (age 30)",25,"Irvine, CA",David vs. Goliath,16,11,3,2,N/A,2,Asian- American,W
Natalie Cole,"February 26, 1961 (1961-02-26) (age 61)",57,"Los Angeles, CA",David vs. Goliath,15,15,4,4,N/A,4,African- American,W
Lyrsa Torres,"September 12, 1981 (1981-09-12) (age 40)",36,"Boston, MA",David vs. Goliath,14,17,9,5,N/A,5,Latin- American,W
Elizabeth Olson,"January 22, 1987 (1987-01-22) (age 35)",31,"Longview, TX",David vs. Goliath,13,20,13,5,0,5,Caucasian,W
John Hennigan,"October 3, 1979 (1979-10-03) (age 42)",38,"Los Angeles, CA",David vs. Goliath,12,22,3,6,1,7,Caucasian,M
Dan Rengering,"April 7, 1990 (1990-04-07) (age 32)",27,"Gainesville, FL",David vs. Goliath,11,25,6,6,2,8,Caucasian,M
Alec Merlino,"October 15, 1993 (1993-10-15) (age 28)",24,"San Clemente, CA",David vs. Goliath,10,28,9,5,4,9,Caucasian,M
Carl Boudreaux,"October 29, 1976 (1976-10-29) (age 45)",41,"Houston, TX",David vs. Goliath,9,30,6,5,1,6,African- American,M
Gabby Pascuzzi,"March 23, 1993 (1993-03-23) (age 29)",25,"Denver, CO",David vs. Goliath,8,32,2,6,2,8,Asian- American,W
Christian Hubicki,"December 6, 1985 (1985-12-06) (age 36)",32,"Tallahassee, FL",David vs. Goliath,7,35,18,6,3,9,Caucasian,M
Davie Rickenbacker,"September 14, 1987 (1987-09-14) (age 34)",30,"Atlanta, GA",David vs. Goliath,6,36,7,5,4,9,African- American,M
Alison Raybould,"July 12, 1989 (1989-07-12) (age 32)",28,"Chapel Hill, NC",David vs. Goliath,5,37,13,6,3,9,Caucasian,W
Kara Kay,"November 20, 1987 (1987-11-20) (age 34)",30,"San Diego, CA",David vs. Goliath,4,38,0,5,3,8,Caucasian,W
Angelina Keeley,"July 6, 1989 (1989-07-06) (age 32)",28,"San Clemente, CA",David vs. Goliath,2,39,6,5,1,6,Latin- American,W
Mike White,"June 28, 1970 (1970-06-28) (age 51)",47,"Los Angeles, CA",David vs. Goliath,2,39,1,5,4,9,Caucasian,M
Nick Wilson,"June 11, 1990 (1990-06-11) (age 31)",27,"Williamsburg, KY",David vs. Goliath,1,39,0,5,5,10,Caucasian,M
Reem Daly,"July 8, 1971 (1971-07-08) (age 50)",46,"Ashburn, VA",Edge of Extinction,18,35,4,0,0,0,Caucasian,W
Keith Sowell,"July 16, 1998 (1998-07-16) (age 23)",19,"Durham, NC",Edge of Extinction,17,17,6,0,0,0,African- American,M
Aubry Bracco,"November 14, 1985 (1985-11-14) (age 36)",32,"Los Angeles, CA",Edge of Extinction,16,35,4,4,0,4,Caucasian,W
Wendy Diaz,"September 26, 1992 (1992-09-26) (age 29)",25,"Bell, CA",Edge of Extinction,15,17,15,4,0,4,Latin- American,W
Joe Anglim,"September 30, 1988 (1988-09-30) (age 33)",29,"Ogden, UT",Edge of Extinction,14,35,6,8,0,8,Caucasian,M
Eric Hafemann,"April 13, 1983 (1983-04-13) (age 39)",35,"Livermore, CA",Edge of Extinction,13,35,8,6,1,7,Caucasian,M
Julia Carter,"April 18, 1993 (1993-04-18) (age 29)",25,"Bethesda, MD",Edge of Extinction,12,35,9,8,1,9,African- American,W
David Wright,"February 28, 1974 (1974-02-28) (age 48)",44,"Sherman Oaks, CA",Edge of Extinction,11,35,12,2,0,2,Caucasian,M
Kelley Wentworth,"June 7, 1986 (1986-06-07) (age 35)",31,"Seattle, WA",Edge of Extinction,10,35,14,2,1,3,Caucasian,W
Wardog DaSilva,"March 31, 1980 (1980-03-31) (age 42)",38,"Los Angeles, CA",Edge of Extinction,9,35,8,2,2,4,Caucasian,M
Ron Clark,"October 24, 1971 (1971-10-24) (age 50)",46,"Atlanta, GA",Edge of Extinction,8,35,3,8,1,9,Caucasian,M
Aurora McCreary,"December 21, 1985 (1985-12-21) (age 36)",32,"Orlando, FL",Edge of Extinction,7,35,12,8,3,11,Caucasian,W
Victoria Baamonde,"July 18, 1994 (1994-07-18) (age 27)",23,"Bronx, NY",Edge of Extinction,6,36,2,6,1,7,Latin- American,W
Lauren O'Connell,"October 25, 1996 (1996-10-25) (age 25)",21,"Waco, TX",Edge of Extinction,5,37,11,2,2,4,Caucasian,W
Rick Devens,"April 5, 1984 (1984-04-05) (age 38)",34,"Macon, GA",Edge of Extinction,4,38,12,1,7,8,Caucasian,M
Julie Rosenberg,"October 9, 1971 (1971-10-09) (age 50)",46,"New York City, NY",Edge of Extinction,2,39,1,8,3,11,Caucasian,W
Gavin Whitson,"July 20, 1994 (1994-07-20) (age 27)",23,"Erwin, TN",Edge of Extinction,2,39,0,6,4,10,Caucasian,M
Chris Underwood,"October 6, 1992 (1992-10-06) (age 29)",25,"Greenville, SC",Edge of Extinction,1,39,9,1,2,3,Latin- American,M
Ronnie Bardah,"August 29, 1982 (1982-08-29) (age 39)",36,"Henderson, NV",Island of the Idols,20,3,7,0,N/A,0,African-Asian- American,M
Molly Byman,"October 5, 1990 (1990-10-05) (age 31)",28,"Durham, NC",Island of the Idols,19,6,7,1,N/A,1,Caucasian,W
Vince Moua,"April 9, 1991 (1991-04-09) (age 31)",27,"Palo Alto, CA",Island of the Idols,18,8,7,1,N/A,1,Asian- American,M
Chelsea Walker,"March 10, 1992 (1992-03-10) (age 30)",27,"Los Angeles, CA",Island of the Idols,17,11,6,1,N/A,1,Caucasian,W
Tom Laidlaw,"April 15, 1958 (1958-04-15) (age 64)",60,"Greenwich, CT",Island of the Idols,16,14,6,1,N/A,1,Caucasian,M
Jason Linden,"August 4, 1986 (1986-08-04) (age 35)",32,"New York City, NY",Island of the Idols,15,16,6,6,N/A,6,Caucasian,M
Jack Nichting,"June 5, 1995 (1995-06-05) (age 26)",23,"Harrisonburg, VA",Island of the Idols,14,19,2,4,N/A,4,Caucasian,M
Kellee Kim,"October 17, 1989 (1989-10-17) (age 32)",29,"Philadelphia, PA",Island of the Idols,13,22,8,4,0,4,Asian- American,W
Jamal Shipman,"May 9, 1985 (1985-05-09) (age 36)",33,"Providence, RI",Island of the Idols,12,24,6,4,0,4,African-Latin- American,M
Aaron Meredith,"December 16, 1982 (1982-12-16) (age 39)",36,"Warwick, RI",Island of the Idols,11,27,5,6,2,8,African- American,M
Missy Byrd,"July 1, 1994 (1994-07-01) (age 27)",24,"Tacoma, WA",Island of the Idols,10,27,3,6,2,8,African- American,W
Elizabeth Beisel,"August 18, 1992 (1992-08-18) (age 29)",26,"Saunderstown, RI",Island of the Idols,9,30,8,6,2,8,Caucasian,W
Karishma Patel,"December 7, 1981 (1981-12-07) (age 40)",37,"Houston, TX",Island of the Idols,8,32,22,2,1,3,Asian- American,W
Elaine Stott,"January 13, 1978 (1978-01-13) (age 44)",41,"Rockholds, KY",Island of the Idols,7,35,8,6,2,8,Caucasian,W
Dan Spilo,"June 28, 1970 (1970-06-28) (age 51)",48,"Los Angeles, CA",Island of the Idols,6,36,5,8,1,9,Caucasian,M
Janet Carbin,"June 15, 1959 (1959-06-15) (age 62)",59,"Palm Bay, FL",Island of the Idols,5,37,8,4,1,5,Caucasian,W
Lauren Beck,"November 16, 1989 (1989-11-16) (age 32)",29,"Glendale, CA",Island of the Idols,4,38,1,8,1,9,African- American,W
Noura Salman,"August 23, 1982 (1982-08-23) (age 39)",36,"North Potomac, MD",Island of the Idols,2,39,6,4,4,8,Asian- American,W
Dean Kowalski,"April 12, 1990 (1990-04-12) (age 32)",28,"New York City, NY",Island of the Idols,2,39,5,2,3,5,Caucasian,M
Tommy Sheehan,"October 26, 1992 (1992-10-26) (age 29)",26,"Long Beach, NY",Island of the Idols,1,39,2,8,4,12,Caucasian,M
Amber Mariano,"August 11, 1978 (1978-08-11) (age 43)",40,"Pensacola, FL",Winners at War,20,35,6,1,0,1,Caucasian,W
Danni Boatwright,"July 13, 1975 (1975-07-13) (age 46)",43,"Shawnee, KS",Winners at War,19,35,8,1,0,1,Caucasian,M
Ethan Zohn,"November 12, 1973 (1973-11-12) (age 48)",45,"Hillsborough, NH",Winners at War,18,35,4,1,0,1,Caucasian,M
Rob Mariano,"December 25, 1975 (1975-12-25) (age 46)",43,"Pensacola, FL",Winners at War,17,35,4,2,0,2,Caucasian,M
Sandra Diaz-Twine,"July 30, 1974 (1974-07-30) (age 47)",44,"Riverview, FL",Winners at War,16,16,1,4,N/A,4,Latin- American,W
Parvati Shallow,"September 21, 1982 (1982-09-21) (age 39)",36,"Los Angeles, CA",Winners at War,15,35,5,3,0,3,Caucasian,W
Yul Kwon,"February 14, 1975 (1975-02-14) (age 47)",44,"Los Altos, CA",Winners at War,14,35,3,5,0,5,Asian- American,M
Wendell Holland,"March 8, 1984 (1984-03-08) (age 38)",35,"Philadelphia, PA",Winners at War,13,35,12,5,0,5,African- American,M
Adam Klein,"January 15, 1991 (1991-01-15) (age 31)",28,"Los Angeles, CA",Winners at War,12,35,15,5,0,5,Caucasian,M
Tyson Apostol,"June 17, 1979 (1979-06-17) (age 42)",39,"Mesa, AZ",Winners at War,11,35,12,3,1,4,Caucasian,M
Sophie Clarke,"July 10, 1989 (1989-07-10) (age 32)",29,"Santa Monica, CA",Winners at War,10,35,6,6,2,8,Caucasian,W
Kim Spradlin-Wolfe,"January 30, 1983 (1983-01-30) (age 39)",36,"San Antonio, TX",Winners at War,9,35,9,5,3,8,Caucasian,W
Jeremy Collins,"April 16, 1978 (1978-04-16) (age 44)",41,"Foxborough, MA",Winners at War,8,35,9,4,1,5,African- American,M
Nick Wilson,"June 11, 1990 (1990-06-11) (age 31)",28,"Williamsburg, KY",Winners at War,7,35,8,5,2,7,Caucasian,M
Denise Stapley,"January 1, 1971 (1971-01-01) (age 51)",48,"Marion, IA",Winners at War,6,36,14,4,2,6,Caucasian,W
Ben Driebergen,"January 1, 1983 (1983-01-01) (age 39)",36,"Boise, ID",Winners at War,5,37,7,5,2,7,Caucasian,M
Sarah Lacina,"July 9, 1984 (1984-07-09) (age 37)",34,"Cedar Rapids, IA",Winners at War,4,38,2,6,1,7,Caucasian,W
Michele Fitzgerald,"May 5, 1990 (1990-05-05) (age 31)",29,"Hoboken, NJ",Winners at War,2,39,6,4,3,7,Caucasian,W
Natalie Anderson,"April 11, 1986 (1986-04-11) (age 36)",33,"Edgewater, NJ",Winners at War,2,39,11,0,2,2,Asian- American,W
Tony Vlachos,"September 10, 1973 (1973-09-10) (age 48)",45,"Allendale, NJ",Winners at War,1,39,0,5,4,9,Caucasian,M
Eric Abraham,"June 10, 1970 (1970-06-10) (age 51)",50,"San Antonio, TX",Survivor 41,18,3,5,0,N/A,0,African- American,M
Sara Wilson,"June 28, 1997 (1997-06-28) (age 24)",23,"Boston, MA",Survivor 41,17,3,4,1,N/A,1,Caucasian,W
David Voce,"May 1, 1986 (1986-05-01) (age 35)",34,"Chicago, IL",Survivor 41,16,5,3,0,N/A,0,Caucasian,M
Brad Reese,"July 21, 1971 (1971-07-21) (age 50)",49,"Shawnee, WY",Survivor 41,15,7,4,2,N/A,2,Caucasian,M
JD Robinson,"March 18, 2001 (2001-03-18) (age 21)",20,"Oklahoma City, OK",Survivor 41,14,9,4,3,N/A,3,African- American,M
Genie Chen,"March 4, 1975 (1975-03-04) (age 47)",46,"Portland, OR",Survivor 41,13,11,3,3,N/A,3,Asian- American,W
Sydney Segal,"July 19, 1995 (1995-07-19) (age 26)",25,"Brooklyn, NY",Survivor 41,12,14,5,5,1,6,Caucasian,W
Tiffany Seely,"December 8, 1973 (1973-12-08) (age 48)",47,"Plainview, NY",Survivor 41,11,16,8,4,0,4,Caucasian,W
Naseer Muttalif,"June 21, 1984 (1984-06-21) (age 37)",36,"Morgan Hill, CA",Survivor 41,10,17,8,5,0,5,Asian- American,M
Evvie Jagoda,"October 26, 1992 (1992-10-26) (age 29)",28,"Arlington, MA",Survivor 41,9,17,7,4,3,7,Caucasian,W
Shan Smith,"March 11, 1987 (1987-03-11) (age 35)",34,"Washington, DC",Survivor 41,8,19,9,3,0,3,African- American,W
Liana Wallace,"October 25, 2000 (2000-10-25) (age 21)",20,"Washington, DC",Survivor 41,7,21,10,4,0,4,African- American,W
Danny McCray,"March 10, 1988 (1988-03-10) (age 34)",33,"Frisco, TX",Survivor 41,6,23,7,5,3,8,African- American,M
Ricard Foyé,"December 4, 1989 (1989-12-04) (age 32)",31,"Sedro-Woolley, WA",Survivor 41,5,24,9,3,6,9,Latin- American,M
Heather Aldret,"March 1, 1969 (1969-03-01) (age 53)",52,"Charleston, SC",Survivor 41,4,25,5,5,0,5,Caucasian,W
Xander Hastings,"August 11, 2000 (2000-08-11) (age 21)",20,"Chicago, IL",Survivor 41,2,26,2,4,3,7,Caucasian,M
Deshawn Radden,"September 17, 1995 (1995-09-17) (age 26)",25,"Miami, FL",Survivor 41,2,26,7,5,3,8,African- American,M
Erika Casupanan,"July 20, 1989 (1989-07-20) (age 32)",31,"Toronto, ON",Survivor 41,1,26,2,5,4,9,Asian- American,W
